na_rates,na_rates_actual,grouping_var,value,params,estimates
0.39,0.355,sigma_11_Truth_1,118,sigma_11,Truth
0.395,0.3541666666666667,sigma_11_Truth_1,118,sigma_11,Truth
0.4,0.3525,sigma_11_Truth_1,118,sigma_11,Truth
0.405,0.3675,sigma_11_Truth_1,118,sigma_11,Truth
0.41000000000000003,0.3566666666666667,sigma_11_Truth_1,118,sigma_11,Truth
0.41500000000000004,0.3575,sigma_11_Truth_1,118,sigma_11,Truth
0.42,0.3675,sigma_11_Truth_1,118,sigma_11,Truth
0.425,0.3625,sigma_11_Truth_1,118,sigma_11,Truth
0.43,0.36666666666666664,sigma_11_Truth_1,118,sigma_11,Truth
0.435,0.37166666666666665,sigma_11_Truth_1,118,sigma_11,Truth
0.44,0.38416666666666666,sigma_11_Truth_1,118,sigma_11,Truth
0.445,0.37666666666666665,sigma_11_Truth_1,118,sigma_11,Truth
0.45,0.3908333333333333,sigma_11_Truth_1,118,sigma_11,Truth
0.455,0.3975,sigma_11_Truth_1,118,sigma_11,Truth
0.46,0.4008333333333333,sigma_11_Truth_1,118,sigma_11,Truth
0.465,0.38666666666666666,sigma_11_Truth_1,118,sigma_11,Truth
0.47000000000000003,0.38916666666666666,sigma_11_Truth_1,118,sigma_11,Truth
0.47500000000000003,0.4175,sigma_11_Truth_1,118,sigma_11,Truth
0.48,0.41333333333333333,sigma_11_Truth_1,118,sigma_11,Truth
0.485,0.4041666666666667,sigma_11_Truth_1,118,sigma_11,Truth
0.49,0.4141666666666667,sigma_11_Truth_1,118,sigma_11,Truth
0.495,0.41,sigma_11_Truth_1,118,sigma_11,Truth
0.5,0.4241666666666667,sigma_11_Truth_1,118,sigma_11,Truth
0,0,mu_1_Observed data_1,0.5812284179286237,mu_1,Observed data
0.005,0.0025,mu_1_Observed data_1,0.5826182393679886,mu_1,Observed data
0.01,0.0125,mu_1_Observed data_1,0.5587494334633414,mu_1,Observed data
0.015,0.0125,mu_1_Observed data_1,0.5222179288500095,mu_1,Observed data
0.02,0.024166666666666666,mu_1_Observed data_1,0.7291861751161441,mu_1,Observed data
0.025,0.0275,mu_1_Observed data_1,0.6192354290513277,mu_1,Observed data
0.03,0.0275,mu_1_Observed data_1,0.6712169418262106,mu_1,Observed data
0.035,0.02666666666666667,mu_1_Observed data_1,0.6642298569626104,mu_1,Observed data
0.04,0.028333333333333332,mu_1_Observed data_1,0.5972035055470888,mu_1,Observed data
0.045,0.04666666666666667,mu_1_Observed data_1,0.6713639516675732,mu_1,Observed data
